cycle,event,partition,warp,opcode,dst,src1,src2,latency,info
0,ISSUE,0,0,MOV,0,0,None,1,""
1,ISSUE,0,1,MOV,0,0,None,1,""
2,ISSUE,0,2,MOV,0,0,None,1,""
3,ISSUE,0,3,MOV,0,0,None,1,""
4,ISSUE,0,4,MOV,0,0,None,1,""
5,ISSUE,0,5,MOV,0,0,None,1,""
5,COMPLETE,0,0,ALU,0,-1,-1,0,""
6,ISSUE,0,6,MOV,0,0,None,1,""
6,COMPLETE,0,1,ALU,0,-1,-1,0,""
7,ISSUE,0,7,MOV,0,0,None,1,""
7,COMPLETE,0,2,ALU,0,-1,-1,0,""
8,ISSUE,0,0,LD,1,3,None,4,""
8,COMPLETE,0,3,ALU,0,-1,-1,0,""
9,ISSUE,0,1,LD,1,3,None,4,""
9,COMPLETE,0,4,ALU,0,-1,-1,0,""
10,ISSUE,0,2,LD,1,3,None,4,""
10,COMPLETE,0,5,ALU,0,-1,-1,0,""
11,ISSUE,0,3,LD,1,3,None,4,""
11,COMPLETE,0,6,ALU,0,-1,-1,0,""
12,ISSUE,0,4,LD,1,3,None,4,""
12,COMPLETE,0,7,ALU,0,-1,-1,0,""
13,ISSUE,0,5,LD,1,3,None,4,""
14,ISSUE,0,6,LD,1,3,None,4,""
15,ISSUE,0,7,LD,1,3,None,4,""
209,COMPLETE,0,0,LD,1,-1,-1,0,""
210,ISSUE,0,0,LD,2,4,None,4,""
210,COMPLETE,0,1,LD,1,-1,-1,0,""
211,ISSUE,0,1,LD,2,4,None,4,""
409,COMPLETE,0,2,LD,1,-1,-1,0,""
410,ISSUE,0,2,LD,2,4,None,4,""
410,COMPLETE,0,3,LD,1,-1,-1,0,""
411,ISSUE,0,3,LD,2,4,None,4,""
609,COMPLETE,0,4,LD,1,-1,-1,0,""
610,ISSUE,0,4,LD,2,4,None,4,""
610,COMPLETE,0,5,LD,1,-1,-1,0,""
611,ISSUE,0,5,LD,2,4,None,4,""
809,COMPLETE,0,6,LD,1,-1,-1,0,""
810,ISSUE,0,6,LD,2,4,None,4,""
810,COMPLETE,0,7,LD,1,-1,-1,0,""
811,ISSUE,0,7,LD,2,4,None,4,""
1009,COMPLETE,0,0,LD,2,-1,-1,0,""
1010,ISSUE,0,0,FFMA,0,1,2,4,""
1010,COMPLETE,0,1,LD,2,-1,-1,0,""
1011,ISSUE,0,1,FFMA,0,1,2,4,""
1014,ISSUE,0,0,LD,1,3,None,4,""
1015,ISSUE,0,1,LD,1,3,None,4,""
1018,ISSUE,0,0,LD,2,4,None,4,""
1019,ISSUE,0,1,LD,2,4,None,4,""
1019,COMPLETE,0,0,ALU,0,-1,-1,0,""
1020,COMPLETE,0,1,ALU,0,-1,-1,0,""
1209,COMPLETE,0,2,LD,2,-1,-1,0,""
1210,ISSUE,0,2,FFMA,0,1,2,4,""
1210,COMPLETE,0,3,LD,2,-1,-1,0,""
1211,ISSUE,0,3,FFMA,0,1,2,4,""
1214,ISSUE,0,2,LD,1,3,None,4,""
1215,ISSUE,0,3,LD,1,3,None,4,""
1218,ISSUE,0,2,LD,2,4,None,4,""
1219,ISSUE,0,3,LD,2,4,None,4,""
1219,COMPLETE,0,2,ALU,0,-1,-1,0,""
1220,COMPLETE,0,3,ALU,0,-1,-1,0,""
1409,COMPLETE,0,4,LD,2,-1,-1,0,""
1410,ISSUE,0,4,FFMA,0,1,2,4,""
1410,COMPLETE,0,5,LD,2,-1,-1,0,""
1411,ISSUE,0,5,FFMA,0,1,2,4,""
1414,ISSUE,0,4,LD,1,3,None,4,""
1415,ISSUE,0,5,LD,1,3,None,4,""
1418,ISSUE,0,4,LD,2,4,None,4,""
1419,ISSUE,0,5,LD,2,4,None,4,""
1419,COMPLETE,0,4,ALU,0,-1,-1,0,""
1420,COMPLETE,0,5,ALU,0,-1,-1,0,""
1609,COMPLETE,0,6,LD,2,-1,-1,0,""
1610,ISSUE,0,6,FFMA,0,1,2,4,""
1610,COMPLETE,0,7,LD,2,-1,-1,0,""
1611,ISSUE,0,7,FFMA,0,1,2,4,""
1614,ISSUE,0,6,LD,1,3,None,4,""
1615,ISSUE,0,7,LD,1,3,None,4,""
1618,ISSUE,0,6,LD,2,4,None,4,""
1619,ISSUE,0,7,LD,2,4,None,4,""
1619,COMPLETE,0,6,ALU,0,-1,-1,0,""
1620,COMPLETE,0,7,ALU,0,-1,-1,0,""
1809,COMPLETE,0,0,LD,1,-1,-1,0,""
1810,ISSUE,0,0,FFMA,0,1,2,4,""
1810,COMPLETE,0,1,LD,1,-1,-1,0,""
1811,ISSUE,0,1,FFMA,0,1,2,4,""
1819,COMPLETE,0,0,ALU,0,-1,-1,0,""
1820,COMPLETE,0,1,ALU,0,-1,-1,0,""
2009,COMPLETE,0,0,LD,2,-1,-1,0,""
2010,ISSUE,0,0,LD,1,3,None,4,""
2010,COMPLETE,0,1,LD,2,-1,-1,0,""
2011,ISSUE,0,1,LD,1,3,None,4,""
2209,COMPLETE,0,2,LD,1,-1,-1,0,""
2210,ISSUE,0,2,FFMA,0,1,2,4,""
2210,COMPLETE,0,3,LD,1,-1,-1,0,""
2211,ISSUE,0,3,FFMA,0,1,2,4,""
2219,COMPLETE,0,2,ALU,0,-1,-1,0,""
2220,COMPLETE,0,3,ALU,0,-1,-1,0,""
2409,COMPLETE,0,2,LD,2,-1,-1,0,""
2410,ISSUE,0,2,LD,1,3,None,4,""
2410,COMPLETE,0,3,LD,2,-1,-1,0,""
2411,ISSUE,0,3,LD,1,3,None,4,""
2609,COMPLETE,0,4,LD,1,-1,-1,0,""
2610,ISSUE,0,4,FFMA,0,1,2,4,""
2610,COMPLETE,0,5,LD,1,-1,-1,0,""
2611,ISSUE,0,5,FFMA,0,1,2,4,""
2619,COMPLETE,0,4,ALU,0,-1,-1,0,""
2620,COMPLETE,0,5,ALU,0,-1,-1,0,""
2809,COMPLETE,0,4,LD,2,-1,-1,0,""
2810,ISSUE,0,4,LD,1,3,None,4,""
2810,COMPLETE,0,5,LD,2,-1,-1,0,""
2811,ISSUE,0,5,LD,1,3,None,4,""
3009,COMPLETE,0,6,LD,1,-1,-1,0,""
3010,ISSUE,0,6,FFMA,0,1,2,4,""
3010,COMPLETE,0,7,LD,1,-1,-1,0,""
3011,ISSUE,0,7,FFMA,0,1,2,4,""
3019,COMPLETE,0,6,ALU,0,-1,-1,0,""
3020,COMPLETE,0,7,ALU,0,-1,-1,0,""
3209,COMPLETE,0,6,LD,2,-1,-1,0,""
3210,ISSUE,0,6,LD,1,3,None,4,""
3210,COMPLETE,0,7,LD,2,-1,-1,0,""
3211,ISSUE,0,7,LD,1,3,None,4,""
3409,COMPLETE,0,0,LD,1,-1,-1,0,""
3410,ISSUE,0,0,LD,2,4,None,4,""
3410,COMPLETE,0,1,LD,1,-1,-1,0,""
3411,ISSUE,0,1,LD,2,4,None,4,""
3609,COMPLETE,0,2,LD,1,-1,-1,0,""
3610,ISSUE,0,2,LD,2,4,None,4,""
3610,COMPLETE,0,3,LD,1,-1,-1,0,""
3611,ISSUE,0,3,LD,2,4,None,4,""
3809,COMPLETE,0,4,LD,1,-1,-1,0,""
3810,ISSUE,0,4,LD,2,4,None,4,""
3810,COMPLETE,0,5,LD,1,-1,-1,0,""
3811,ISSUE,0,5,LD,2,4,None,4,""
4009,COMPLETE,0,6,LD,1,-1,-1,0,""
4010,ISSUE,0,6,LD,2,4,None,4,""
4010,COMPLETE,0,7,LD,1,-1,-1,0,""
4011,ISSUE,0,7,LD,2,4,None,4,""
4209,COMPLETE,0,0,LD,2,-1,-1,0,""
4210,ISSUE,0,0,FFMA,0,1,2,4,""
4210,COMPLETE,0,1,LD,2,-1,-1,0,""
4211,ISSUE,0,1,FFMA,0,1,2,4,""
4214,ISSUE,0,0,LD,1,3,None,4,""
4215,ISSUE,0,1,LD,1,3,None,4,""
4218,ISSUE,0,0,LD,2,4,None,4,""
4219,ISSUE,0,1,LD,2,4,None,4,""
4219,COMPLETE,0,0,ALU,0,-1,-1,0,""
4220,COMPLETE,0,1,ALU,0,-1,-1,0,""
4409,COMPLETE,0,2,LD,2,-1,-1,0,""
4410,ISSUE,0,2,FFMA,0,1,2,4,""
4410,COMPLETE,0,3,LD,2,-1,-1,0,""
4411,ISSUE,0,3,FFMA,0,1,2,4,""
4414,ISSUE,0,2,LD,1,3,None,4,""
4415,ISSUE,0,3,LD,1,3,None,4,""
4418,ISSUE,0,2,LD,2,4,None,4,""
4419,ISSUE,0,3,LD,2,4,None,4,""
4419,COMPLETE,0,2,ALU,0,-1,-1,0,""
4420,COMPLETE,0,3,ALU,0,-1,-1,0,""
4609,COMPLETE,0,4,LD,2,-1,-1,0,""
4610,ISSUE,0,4,FFMA,0,1,2,4,""
4610,COMPLETE,0,5,LD,2,-1,-1,0,""
4611,ISSUE,0,5,FFMA,0,1,2,4,""
4614,ISSUE,0,4,LD,1,3,None,4,""
4615,ISSUE,0,5,LD,1,3,None,4,""
4618,ISSUE,0,4,LD,2,4,None,4,""
4619,ISSUE,0,5,LD,2,4,None,4,""
4619,COMPLETE,0,4,ALU,0,-1,-1,0,""
4620,COMPLETE,0,5,ALU,0,-1,-1,0,""
4809,COMPLETE,0,6,LD,2,-1,-1,0,""
4810,ISSUE,0,6,FFMA,0,1,2,4,""
4810,COMPLETE,0,7,LD,2,-1,-1,0,""
4811,ISSUE,0,7,FFMA,0,1,2,4,""
4814,ISSUE,0,6,LD,1,3,None,4,""
4815,ISSUE,0,7,LD,1,3,None,4,""
4818,ISSUE,0,6,LD,2,4,None,4,""
4819,ISSUE,0,7,LD,2,4,None,4,""
4819,COMPLETE,0,6,ALU,0,-1,-1,0,""
4820,COMPLETE,0,7,ALU,0,-1,-1,0,""
